lon,lat,n,geo,type
39.4665,13.4955,332,75,0
39.472,13.4875,559,75,0
39.4602,13.4692,1458,75,0
39.4665,13.4853,708,75,0
39.4635,13.4705,7175,75,0
39.4457,13.5102,230,75,0
39.4627,13.4924,630,75,0
39.4523,13.5044,1482,75,0
39.4579,13.4802,5237,75,0
39.4611,13.485,9015,75,0
39.4687,13.4949,684,75,0
39.4776,13.4901,1122,75,0
39.4732,13.4794,1794,75,0
39.4858,13.4576,528,75,0
39.4548,13.5096,834,75,0
39.45,13.5209,1504,75,0
39.4171,13.4969,4392,75,0
39.4732,13.5121,839,75,0
39.4732,13.5046,771,75,0
39.4451,13.5289,1769,75,0
39.4951,13.5322,4231,75,0
39.5003,13.5359,257,75,0
39.4746,13.494,368,75,0
39.4695,13.496,485,75,0
39.4818,13.5099,1261,75,0
39.4323,13.4538,337,75,0
39.4708,13.4827,745,75,0
39.4644,13.4961,846,75,0
39.5404,13.4773,1286,75,0
39.5462,13.4784,2175,75,0
39.4805,13.5009,978,75,0
39.4823,13.5072,1591,75,0
39.4632,13.5112,1496,75,0
39.4677,13.5158,890,75,0
39.4576,13.5248,1395,75,0
39.4481,13.4748,2918,75,0
39.4557,13.4766,8687,75,0
39.5401,13.4744,1532,75,0
39.5498,13.4682,716,75,0
39.4816,13.5167,210,75,0
39.4527,13.4731,2581,75,0
39.4497,13.4807,9345,75,0
39.4752,13.5,535,75,0
39.4773,13.4996,609,75,0
39.4768,13.4988,3200,75,0
39.456,13.4999,2500,75,0
38.5943,13.254,781,75,0
38.992,13.2907,183,75,0
38.9947,13.2469,95,75,0
38.992,13.2874,282,75,0
39.4549,14.2791,129,75,0
39.4695,14.2769,6631,75,0
39.4627,14.281,2367,75,0
38.7067,14.182,153,75,0
39.7291,12.6836,484,75,0
39.6477,12.6176,366,75,0
39.6489,12.795,116,75,0
39.6436,12.7931,959,75,0
39.6911,12.8469,222,75,0
39.8058,12.7699,831,75,0
39.7415,12.7915,55,75,0
39.6393,12.7666,344,75,0
39.6454,12.6795,286,75,0
39.6266,12.5978,304,75,0
39.6457,12.8039,1518,75,0
39.7017,12.7233,1460,75,0
39.691,12.8412,1293,75,0
39.6305,12.8101,702,75,0
39.1801,13.3575,139,75,0
39.1625,13.2967,308,75,0
39.2839,13.3255,146,75,0
39.1152,13.3295,63,75,0
39.7424,13.8774,156,75,0
39.6898,13.9196,103,75,0
39.7239,14.0026,56,75,0
39.7383,13.9829,113,75,0
39.7416,13.9043,176,75,0
39.7395,13.8785,256,75,0
38.8456,13.9924,104,75,0
38.841,13.9982,188,75,0
38.7665,13.9429,494,75,0
38.5815,14.3619,598,75,0
38.7236,14.1245,721,75,0
38.7311,14.115,1139,75,0
38.647,13.886,1846,75,0
38.6601039,14.0084983,104,75,0
39.6914,13.8365,64,75,0
39.7006,13.9929,41,75,0
39.7365,13.8818,218,75,0
39.757,13.8206,56,75,0
39.7332,13.9449,65,75,0
39.7259,14.0019,28,75,0
39.7375,13.8689,230,75,0
39.7367,13.8703,97,75,0
39.4591,14.2794,154,75,0
39.4602,14.2835,4137,75,0
39.4688,14.2838,190,75,0
39.4638,14.2755,5818,75,0
39.4967,13.1091,963,75,0
39.464,13.314,87,75,0
39.3277,13.3104,362,75,0
39.0778,13.3417,216,75,0
39.2729,13.3073,116,75,0
39.1751,13.327,505,75,0
39.1757,13.4159,143,75,0
39.2899,14.2827,1106,75,0
39.2666,14.3201,680,75,0
39.308,14.2712,123,75,0
39.2977,14.2636,322,75,0
